No,시도,구군,국민행복지수,행복역량지수,여가,사회관계,교육,경제,환경,안전,건강
71,울산광역시,남구,a,0.5461,0.3988,0.567,0.8894,0.7907,0.0733,0.5006,0.5059
72,울산광역시,동구,b,0.5202,0.3528,0.4644,0.7956,0.6519,0.5184,0.4477,0.4507
73,울산광역시,북구,b,0.4811,0.4658,0.886,0.7281,0.7063,0.5107,0.4291,0.2201
74,울산광역시,울주군,a,0.5998,0.555,0.8033,0.7199,0.7027,0.3364,0.529,0.5847
75,세종특별자치시,세종시,c,0.3914,0.4478,0.6737,0.587,0.5119,0.6524,0.1578,0.232
76,경기도,수원시,b,0.4786,0.3505,0.6117,0.7801,0.4787,0.4935,0.4344,0.3975
77,경기도,성남시,a,0.5348,0.324,0.5492,0.7748,0.5456,0.6296,0.3541,0.5489
78,경기도,의정부시,c,0.5007,0.205,0.5723,0.8666,0.3016,0.6434,0.3894,0.5362
79,경기도,안양시,a,0.5168,0.3354,0.7167,0.8866,0.5658,0.5422,0.4114,0.4105
80,경기도,부천시,c,0.4829,0.1534,0.7119,0.5391,0.4546,0.3525,0.4468,0.5367
81,경기도,광명시,b,0.4777,0.2223,0.9014,0.7989,0.3779,0.6023,0.4316,0.3612
82,경기도,평택시,e,0.3239,0.2951,0.3863,0.655,0.605,0.245,0.2515,0.1359
83,경기도,동두천시,d,0.4757,0.2116,0.4181,0.4777,0.2125,0.5047,0.2929,0.7414
84,경기도,안산시,e,0.402,0.2747,0.3177,0.6281,0.551,0.4483,0.4194,0.2814
85,경기도,고양시,c,0.443,0.2897,0.7029,0.7661,0.4146,0.6464,0.2593,0.3542
86,경기도,과천시,a,0.6183,0.5638,0.92,0.7262,0.6877,0.7482,0.5269,0.495
87,경기도,구리시,b,0.5199,0.252,0.6446,0.6839,0.4192,0.5781,0.4206,0.567
88,경기도,남양주시,e,0.3663,0.309,0.8731,0.6473,0.3032,0.7385,0.2716,0.1406
89,경기도,오산시,d,0.4136,0.3735,0.568,0.74,0.4448,0.4327,0.4564,0.2476
90,경기도,시흥시,d,0.4134,0.4324,0.4479,0.6935,0.6114,0.3514,0.3102,0.2895
91,경기도,군포시,a,0.5147,0.3326,0.9343,0.8557,0.469,0.6277,0.4638,0.3599
92,경기도,의왕시,b,0.4905,0.3558,0.8661,0.8337,0.4296,0.6481,0.4408,0.3316
93,경기도,하남시,d,0.3575,0.2935,0.5394,0.426,0.4264,0.7839,0.1968,0.221
94,경기도,용인시,b,0.459,0.2485,0.8206,0.8399,0.4828,0.642,0.399,0.2603
95,경기도,파주시,d,0.4072,0.466,0.8055,0.5562,0.5031,0.4036,0.1751,0.3232
96,경기도,이천시,c,0.4087,0.4178,0.5314,0.5669,0.6725,0.2897,0.2407,0.316
97,경기도,안성시,e,0.3666,0.5242,0.4324,0.8854,0.5597,0.4621,0.0707,0.1904
98,경기도,김포시,d,0.4002,0.2691,0.6917,0.6643,0.509,0.6119,0.2981,0.2079
99,경기도,화성시,b,0.4747,0.3607,0.6861,0.7077,0.8189,0.4235,0.1456,0.3758
100,경기도,광주시,d,0.4006,0.2677,0.6939,0.3887,0.5155,0.6372,0.197,0.3259
101,경기도,양주시,e,0.3748,0.5063,0.7096,0.7058,0.4818,0.2943,0.2128,0.2252
102,경기도,포천시,e,0.3931,0.5181,0.2324,0.7527,0.626,0.4173,0.1127,0.316
103,경기도,여주시,d,0.4128,0.5813,0.3756,0.7788,0.3567,0.5744,0.2874,0.3271
104,경기도,연천군,d,0.3737,0.7067,0.2145,0.4499,0.1592,0.7912,0.3704,0.3187
105,경기도,가평군,c,0.5087,0.6209,0.2763,0.435,0.3195,0.8264,0.4336,0.6021
106,경기도,양평군,d,0.3617,0.6428,0.4959,0.2166,0.2334,0.9072,0.3619,0.2278
107,강원도,춘천시,a,0.5131,0.3742,0.694,0.9163,0.3543,0.7182,0.2573,0.5158
108,강원도,원주시,c,0.444,0.5222,0.6389,0.8496,0.4601,0.3475,0.2228,0.3926
109,강원도,강릉시,b,0.4593,0.5634,0.4982,0.7821,0.4155,0.6507,0.3929,0.336
110,강원도,동해시,c,0.4583,0.5987,0.6288,0.5509,0.417,0.6233,0.4471,0.345
111,강원도,태백시,b,0.4203,0.7228,0.3939,0.3456,0.4605,0.6582,0.5021,0.269
112,강원도,속초시,c,0.4749,0.4105,0.6317,0.3912,0.3419,0.6616,0.5777,0.4349
113,강원도,삼척시,b,0.4945,0.5861,0.6598,0.8884,0.405,0.5679,0.3152,0.4336
114,강원도,홍천군,b,0.4373,0.4844,0.4133,0.434,0.3694,0.6628,0.5624,0.3439
115,강원도,횡성군,b,0.4612,0.6106,0.679,0.7509,0.3292,0.4682,0.7374,0.2338
116,강원도,영월군,b,0.5245,0.8509,0.7109,0.6244,0.402,0.8183,0.885,0.2006
117,강원도,평창군,e,0.3656,0.6234,0.4582,0.2596,0.481,0.6143,0.3591,0.204
118,강원도,정선군,b,0.495,0.8498,0.5307,0.1452,0.5146,0.7956,0.9585,0.2109
119,강원도,철원군,c,0.3997,0.3631,0.4799,0.3258,0.2248,0.6829,0.4033,0.4098
120,강원도,화천군,c,0.4934,0.8618,0.514,0.3247,0.3429,0.6507,0.7363,0.3897
121,강원도,양구군,a,0.47,0.7282,0.2445,0.1876,0.2229,0.6011,0.9071,0.4396
122,강원도,인제군,a,0.481,0.8195,0.9047,0.2333,0.4389,0.6498,0.6855,0.2707
123,강원도,고성군,c,0.3936,0.6599,0.5825,0.3854,0.3372,0.6615,0.462,0.2236
124,강원도,양양군,c,0.4291,0.76,0.4732,0.3986,0.4463,0.6845,0.4523,0.2776
125,충청북도,충주시,d,0.4108,0.4627,0.2071,0.8624,0.51,0.4217,0.3199,0.3098
126,충청북도,제천시,d,0.4359,0.5708,0.4601,0.6123,0.4617,0.642,0.3987,0.3005
127,충청북도,청주시,c,0.473,0.3968,0.3781,0.8351,0.5417,0.2652,0.4489,0.4418
128,충청북도,보은군,b,0.4807,0.7833,0.3907,0.391,0.3346,0.5971,0.6734,0.4248
129,충청북도,옥천군,a,0.6326,0.7636,0.6194,0.6201,0.3992,0.6766,0.7188,0.6798
130,충청북도,영동군,a,0.5235,0.8419,0.3546,0.5048,0.2216,0.721,0.656,0.5451
131,충청북도,진천군,d,0.4398,0.7543,0.3338,0.1948,0.8134,0.2333,0.6791,0.2458
132,충청북도,괴산군,b,0.475,0.7425,0.1679,0.6809,0.2711,0.4692,0.7031,0.4389
133,충청북도,음성군,b,0.5294,0.9285,0.346,0.7805,0.8167,0.3132,0.5607,0.3402
134,충청북도,단양군,c,0.4979,0.5742,0.3599,0.679,0.5127,0.3703,0.6013,0.447
135,충청북도,증평군,d,0.4095,0.9132,0.483,0.3556,0.4496,0.4169,0.5448,0.238
136,충청남도,천안시,b,0.5371,0.4255,0.461,0.7677,0.607,0.2853,0.511,0.5588
137,충청남도,공주시,a,0.5381,0.652,0.3977,0.9708,0.3255,0.6178,0.3693,0.589
138,충청남도,보령시,e,0.2972,0.6714,0.1416,0.6917,0.2914,0.4541,0.2568,0.1333
