HAPPY,leisure,relations,educationeconomy,economy,environment,safety,health
d,0.1475,0.4835,0.9055,0.5228,0.6984,0.264,0.2019
c,0.535,0.3838,0.6355,0.207,0.7807,0.617,0.2676
e,0.1987,0.3562,0.6174,0.6011,0.5248,0.2521,0.1163
b,0.2007,0.6759,0.5557,0.5173,0.6661,0.2798,0.5265
d,0.123,0.5297,0.9113,0.5637,0.5311,0.4125,0.2656
a,0.8145,0.3957,0.4605,0.1227,0.8567,0.5732,0.4545
b,0.5221,0.6543,0.7669,0.6504,0.589,0.5355,0.304
a,0.4935,0.3526,0.308,0.3175,0.8946,0.698,0.6022
b,0.4154,0.2248,0.6217,0.3232,0.8042,0.7044,0.4364
d,0.5354,0.3728,0.6532,0.199,0.841,0.7821,0.2455
d,0.4708,0.6235,0.3184,0.1811,0.7235,0.4709,0.2093
c,0.7607,0.3351,0.4212,0.1208,0.8105,0.4006,0.3469
c,0.6758,0.2192,0.5064,0.1401,0.7717,0.7012,0.2036
d,0.4838,0.5717,0.8178,0.1799,0.7998,0.4392,0.215
e,0.79,0.051,0.164,0.0373,0.9117,0.4268,0.2128
b,0.6948,0.6107,0.6468,0.425,0.6842,0.4461,0.2537
b,0.6948,0.6107,0.6468,0.425,0.6842,0.4461,0.2537
